"Step","STAS-simple_spread_n3_s123 - agent_reward","STAS-simple_spread_n3_s123 - agent_reward__MIN","STAS-simple_spread_n3_s123 - agent_reward__MAX"
"7954","-346.303710677702","-346.303710677702","-346.303710677702"
"8036","-327.883867578344","-327.883867578344","-327.883867578344"
"8118","-344.55370487634383","-344.55370487634383","-344.55370487634383"
"8200","-350.35876498814395","-350.35876498814395","-350.35876498814395"
"8364","-353.49302739617247","-353.49302739617247","-353.49302739617247"
"8446","-330.0852237112506","-330.0852237112506","-330.0852237112506"
"8528","-327.2069701714782","-327.2069701714782","-327.2069701714782"
"8610","-371.0741856233269","-371.0741856233269","-371.0741856233269"
"8774","-382.5001303878801","-382.5001303878801","-382.5001303878801"
"8856","-347.03876701312686","-347.03876701312686","-347.03876701312686"
"8938","-353.93155710425884","-353.93155710425884","-353.93155710425884"
"9020","-378.17525881142626","-378.17525881142626","-378.17525881142626"
"9102","-360.46463685742015","-360.46463685742015","-360.46463685742015"
"9266","-341.3170165696164","-341.3170165696164","-341.3170165696164"
"9348","-358.72386433741076","-358.72386433741076","-358.72386433741076"
"9430","-356.5989832106934","-356.5989832106934","-356.5989832106934"
"9512","-362.1184626110418","-362.1184626110418","-362.1184626110418"
"9676","-380.3635704666897","-380.3635704666897","-380.3635704666897"
"9758","-371.4859820222763","-371.4859820222763","-371.4859820222763"
"9840","-341.9045874245452","-341.9045874245452","-341.9045874245452"
"9922","-340.22329539688894","-340.22329539688894","-340.22329539688894"
"10004","-333.41540061951855","-333.41540061951855","-333.41540061951855"
"10168","-372.2195805260398","-372.2195805260398","-372.2195805260398"
"10250","-331.5729332366071","-331.5729332366071","-331.5729332366071"
"10332","-364.1359442492422","-364.1359442492422","-364.1359442492422"
"10414","-332.5998253922925","-332.5998253922925","-332.5998253922925"
"10578","-333.42718181284977","-333.42718181284977","-333.42718181284977"
"10660","-317.7585616450941","-317.7585616450941","-317.7585616450941"
"10742","-354.8742855878009","-354.8742855878009","-354.8742855878009"
"10824","-331.07140962084765","-331.07140962084765","-331.07140962084765"
"10906","-338.46664635191553","-338.46664635191553","-338.46664635191553"
"11070","-333.6589262965764","-333.6589262965764","-333.6589262965764"
"11152","-319.947791755901","-319.947791755901","-319.947791755901"
"11234","-344.923302424898","-344.923302424898","-344.923302424898"
"11316","-334.2546006819592","-334.2546006819592","-334.2546006819592"
"11480","-339.069897339185","-339.069897339185","-339.069897339185"
"11562","-313.78120968799357","-313.78120968799357","-313.78120968799357"
"11644","-327.8914073408058","-327.8914073408058","-327.8914073408058"
"11726","-315.03933981119326","-315.03933981119326","-315.03933981119326"
"11808","-294.6427435090836","-294.6427435090836","-294.6427435090836"
"11972","-314.7309919884655","-314.7309919884655","-314.7309919884655"
"12054","-336.5971608909066","-336.5971608909066","-336.5971608909066"
"12136","-313.7831826188054","-313.7831826188054","-313.7831826188054"
"12218","-357.4376847506953","-357.4376847506953","-357.4376847506953"
"12300","-351.64060822747314","-351.64060822747314","-351.64060822747314"
"12464","-312.909424676989","-312.909424676989","-312.909424676989"
"12546","-327.74025728617846","-327.74025728617846","-327.74025728617846"
"12628","-341.2658236677063","-341.2658236677063","-341.2658236677063"
"12710","-329.7545987484347","-329.7545987484347","-329.7545987484347"
"12874","-314.6727903171529","-314.6727903171529","-314.6727903171529"
"12956","-347.9596542443983","-347.9596542443983","-347.9596542443983"
"13038","-342.0953808707884","-342.0953808707884","-342.0953808707884"
"13120","-290.86428805744885","-290.86428805744885","-290.86428805744885"
"13202","-319.2036741362191","-319.2036741362191","-319.2036741362191"
"13366","-306.53811348860035","-306.53811348860035","-306.53811348860035"
"13448","-331.68637957138895","-331.68637957138895","-331.68637957138895"
"13530","-320.47537132541424","-320.47537132541424","-320.47537132541424"
"13612","-333.8823873994695","-333.8823873994695","-333.8823873994695"
"13776","-292.82218108642394","-292.82218108642394","-292.82218108642394"
"13858","-308.5329949605097","-308.5329949605097","-308.5329949605097"
"13940","-297.5745566621373","-297.5745566621373","-297.5745566621373"
"14022","-313.07960554200395","-313.07960554200395","-313.07960554200395"
"14104","-312.29178591762883","-312.29178591762883","-312.29178591762883"
"14268","-341.09461941224043","-341.09461941224043","-341.09461941224043"
"14350","-316.5714484277253","-316.5714484277253","-316.5714484277253"
"14432","-336.7024507048651","-336.7024507048651","-336.7024507048651"
"14514","-282.02082231340734","-282.02082231340734","-282.02082231340734"
"14678","-332.77996883274295","-332.77996883274295","-332.77996883274295"
"14760","-307.12051280067385","-307.12051280067385","-307.12051280067385"
"14842","-289.4901955356139","-289.4901955356139","-289.4901955356139"
"14924","-299.06143983060036","-299.06143983060036","-299.06143983060036"
"15006","-338.1898967874215","-338.1898967874215","-338.1898967874215"
"15170","-302.838245238299","-302.838245238299","-302.838245238299"
"15252","-294.2970166951238","-294.2970166951238","-294.2970166951238"
"15334","-293.68130095558075","-293.68130095558075","-293.68130095558075"
"15416","-322.0301895240983","-322.0301895240983","-322.0301895240983"
"15580","-344.0774273535621","-344.0774273535621","-344.0774273535621"
"15662","-325.4872250641193","-325.4872250641193","-325.4872250641193"
"15744","-303.91254678793797","-303.91254678793797","-303.91254678793797"
"15826","-324.5999232005069","-324.5999232005069","-324.5999232005069"
"15908","-305.4922794940625","-305.4922794940625","-305.4922794940625"
"16072","-300.4801335644459","-300.4801335644459","-300.4801335644459"
"16154","-323.2836983353073","-323.2836983353073","-323.2836983353073"
"16236","-309.3739648440944","-309.3739648440944","-309.3739648440944"
"16318","-322.9248425098984","-322.9248425098984","-322.9248425098984"
"16400","-311.51122593719674","-311.51122593719674","-311.51122593719674"
"16564","-330.7943001273871","-330.7943001273871","-330.7943001273871"
"16646","-335.3267352218652","-335.3267352218652","-335.3267352218652"
"16728","-298.5376395812262","-298.5376395812262","-298.5376395812262"
"16810","-304.3108507134473","-304.3108507134473","-304.3108507134473"
"16974","-304.77760556975846","-304.77760556975846","-304.77760556975846"
"17056","-330.94417132611716","-330.94417132611716","-330.94417132611716"
"17138","-283.31177148225134","-283.31177148225134","-283.31177148225134"
"17220","-284.6835472427756","-284.6835472427756","-284.6835472427756"
"17302","-313.60765684701414","-313.60765684701414","-313.60765684701414"
"17466","-288.32629948784256","-288.32629948784256","-288.32629948784256"
"17548","-332.6622255703144","-332.6622255703144","-332.6622255703144"
"17630","-350.60070744171594","-350.60070744171594","-350.60070744171594"
"17712","-349.4454870911118","-349.4454870911118","-349.4454870911118"
"17876","-350.18999106741546","-350.18999106741546","-350.18999106741546"
"17958","-328.2238155256913","-328.2238155256913","-328.2238155256913"
"18040","-328.90944945301055","-328.90944945301055","-328.90944945301055"
"18122","-330.0413004291692","-330.0413004291692","-330.0413004291692"
"18204","-310.24955265323246","-310.24955265323246","-310.24955265323246"
"18368","-320.25521431148206","-320.25521431148206","-320.25521431148206"
"18450","-329.20407274512183","-329.20407274512183","-329.20407274512183"
"18532","-323.31491319199154","-323.31491319199154","-323.31491319199154"
"18614","-324.6437508363031","-324.6437508363031","-324.6437508363031"
"18778","-308.8651504174675","-308.8651504174675","-308.8651504174675"
"18860","-316.53774416212934","-316.53774416212934","-316.53774416212934"
"18942","-301.2027565638723","-301.2027565638723","-301.2027565638723"
"19024","-309.0570674987025","-309.0570674987025","-309.0570674987025"
"19106","-290.59288268735634","-290.59288268735634","-290.59288268735634"
"19270","-337.6032134796519","-337.6032134796519","-337.6032134796519"
"19352","-321.77353608802355","-321.77353608802355","-321.77353608802355"
"19434","-338.3911453752958","-338.3911453752958","-338.3911453752958"
"19516","-308.3773992967088","-308.3773992967088","-308.3773992967088"
"19680","-326.8299119969444","-326.8299119969444","-326.8299119969444"
"19762","-318.1668877545266","-318.1668877545266","-318.1668877545266"
"19844","-302.0836512626745","-302.0836512626745","-302.0836512626745"
"19926","-304.02909868081036","-304.02909868081036","-304.02909868081036"
"20008","-299.64782547291776","-299.64782547291776","-299.64782547291776"
"20172","-320.7541184570034","-320.7541184570034","-320.7541184570034"
"20254","-327.3283487969968","-327.3283487969968","-327.3283487969968"
"20336","-321.81469141144044","-321.81469141144044","-321.81469141144044"
"20418","-326.2680283485775","-326.2680283485775","-326.2680283485775"
"20500","-304.6259860683105","-304.6259860683105","-304.6259860683105"
"20664","-308.6021531737341","-308.6021531737341","-308.6021531737341"
"20746","-336.56529431632504","-336.56529431632504","-336.56529431632504"
"20828","-304.91280942408","-304.91280942408","-304.91280942408"
"20910","-323.63342201709617","-323.63342201709617","-323.63342201709617"
"21074","-349.3965692327689","-349.3965692327689","-349.3965692327689"
"21156","-314.66953533111996","-314.66953533111996","-314.66953533111996"
"21238","-287.73770350752875","-287.73770350752875","-287.73770350752875"
"21320","-307.1386577746068","-307.1386577746068","-307.1386577746068"
"21402","-328.9705841353498","-328.9705841353498","-328.9705841353498"
"21566","-324.1213366501846","-324.1213366501846","-324.1213366501846"
"21648","-284.19320564869156","-284.19320564869156","-284.19320564869156"
"21730","-312.56845608236324","-312.56845608236324","-312.56845608236324"
"21812","-302.73914002713894","-302.73914002713894","-302.73914002713894"
"21976","-315.5543178127084","-315.5543178127084","-315.5543178127084"
"22058","-316.1900684546392","-316.1900684546392","-316.1900684546392"
"22140","-312.12529473904556","-312.12529473904556","-312.12529473904556"
"22222","-347.0577352068733","-347.0577352068733","-347.0577352068733"
"22304","-305.97531161391436","-305.97531161391436","-305.97531161391436"
"22468","-316.77959454282893","-316.77959454282893","-316.77959454282893"
"22550","-313.1298822759934","-313.1298822759934","-313.1298822759934"
"22632","-322.84335375495886","-322.84335375495886","-322.84335375495886"
"22714","-329.7365268374992","-329.7365268374992","-329.7365268374992"
"22878","-321.8721263326768","-321.8721263326768","-321.8721263326768"
"22960","-271.02460118494196","-271.02460118494196","-271.02460118494196"
"23042","-324.8038561025042","-324.8038561025042","-324.8038561025042"
"23124","-292.9004784598567","-292.9004784598567","-292.9004784598567"
"23206","-280.74670294816207","-280.74670294816207","-280.74670294816207"
"23370","-336.24612000422616","-336.24612000422616","-336.24612000422616"
"23452","-320.9474059696407","-320.9474059696407","-320.9474059696407"
"23534","-316.58006046716486","-316.58006046716486","-316.58006046716486"
"23616","-305.2093680226566","-305.2093680226566","-305.2093680226566"
"23780","-303.1407531288308","-303.1407531288308","-303.1407531288308"
"23862","-313.86946111639315","-313.86946111639315","-313.86946111639315"
"23944","-324.38982820869484","-324.38982820869484","-324.38982820869484"
"24026","-275.3673960701971","-275.3673960701971","-275.3673960701971"
"24108","-326.75715410388966","-326.75715410388966","-326.75715410388966"
"24272","-334.1723101911195","-334.1723101911195","-334.1723101911195"
"24354","-323.03924884189865","-323.03924884189865","-323.03924884189865"
"24436","-301.01402071029867","-301.01402071029867","-301.01402071029867"
"24518","-320.74659483000977","-320.74659483000977","-320.74659483000977"
"24600","-302.2459467203873","-302.2459467203873","-302.2459467203873"
"24764","-302.9584785972702","-302.9584785972702","-302.9584785972702"
"24846","-315.971287861448","-315.971287861448","-315.971287861448"
"24928","-283.02386863716134","-283.02386863716134","-283.02386863716134"
"25010","-283.13149251727805","-283.13149251727805","-283.13149251727805"
"25174","-334.610015684963","-334.610015684963","-334.610015684963"
"25256","-297.87541923620034","-297.87541923620034","-297.87541923620034"
"25338","-332.6014578904106","-332.6014578904106","-332.6014578904106"
"25420","-298.18117412282567","-298.18117412282567","-298.18117412282567"
"25502","-287.75133782272485","-287.75133782272485","-287.75133782272485"
"25666","-309.81529055048054","-309.81529055048054","-309.81529055048054"
"25748","-311.7304356818364","-311.7304356818364","-311.7304356818364"
"25830","-296.3354860070733","-296.3354860070733","-296.3354860070733"
"25912","-299.73152300082114","-299.73152300082114","-299.73152300082114"
"26076","-316.7079594853899","-316.7079594853899","-316.7079594853899"
"26158","-315.59899220749617","-315.59899220749617","-315.59899220749617"
"26240","-302.1237325450086","-302.1237325450086","-302.1237325450086"
"26322","-304.7091373842844","-304.7091373842844","-304.7091373842844"
"26404","-303.69199872923707","-303.69199872923707","-303.69199872923707"
"26568","-305.97251678880394","-305.97251678880394","-305.97251678880394"
"26650","-312.38710407208333","-312.38710407208333","-312.38710407208333"
"26732","-308.14290978887226","-308.14290978887226","-308.14290978887226"
"26814","-299.5894266327961","-299.5894266327961","-299.5894266327961"
"26978","-312.98265169982557","-312.98265169982557","-312.98265169982557"
"27060","-356.66166581275996","-356.66166581275996","-356.66166581275996"
"27142","-307.37465293323845","-307.37465293323845","-307.37465293323845"
"27224","-282.21734702104675","-282.21734702104675","-282.21734702104675"
"27306","-332.4121452495512","-332.4121452495512","-332.4121452495512"
"27470","-310.19113471476726","-310.19113471476726","-310.19113471476726"
"27552","-308.5222147085936","-308.5222147085936","-308.5222147085936"
"27634","-321.0089882547883","-321.0089882547883","-321.0089882547883"
"27716","-311.4039282404837","-311.4039282404837","-311.4039282404837"
"27880","-282.1513933525398","-282.1513933525398","-282.1513933525398"
"27962","-297.4182264908003","-297.4182264908003","-297.4182264908003"
"28044","-306.30764790266574","-306.30764790266574","-306.30764790266574"
"28126","-284.1891198886427","-284.1891198886427","-284.1891198886427"
"28208","-333.0853707259675","-333.0853707259675","-333.0853707259675"
"28372","-289.6954628120915","-289.6954628120915","-289.6954628120915"
"28454","-293.6256303346948","-293.6256303346948","-293.6256303346948"
"28536","-311.15097053605245","-311.15097053605245","-311.15097053605245"
"28618","-302.8370643274715","-302.8370643274715","-302.8370643274715"
"28700","-318.53498462501705","-318.53498462501705","-318.53498462501705"
"28864","-282.5186445300301","-282.5186445300301","-282.5186445300301"
"28946","-301.7891653618038","-301.7891653618038","-301.7891653618038"
"29028","-301.6809964052691","-301.6809964052691","-301.6809964052691"
"29110","-303.0972489499238","-303.0972489499238","-303.0972489499238"
"29274","-297.3781635007241","-297.3781635007241","-297.3781635007241"
"29356","-309.89037543725595","-309.89037543725595","-309.89037543725595"
"29438","-295.59060418826436","-295.59060418826436","-295.59060418826436"
"29520","-293.7307319640824","-293.7307319640824","-293.7307319640824"
"29602","-311.9358186138447","-311.9358186138447","-311.9358186138447"
"29766","-308.4412821466462","-308.4412821466462","-308.4412821466462"
"29848","-260.4932648939022","-260.4932648939022","-260.4932648939022"
"29930","-314.1991523913768","-314.1991523913768","-314.1991523913768"
"30012","-290.1158115496403","-290.1158115496403","-290.1158115496403"
"30176","-309.7053990304281","-309.7053990304281","-309.7053990304281"
"30258","-281.94680539042974","-281.94680539042974","-281.94680539042974"
"30340","-312.31880506378013","-312.31880506378013","-312.31880506378013"
"30422","-310.88435770147646","-310.88435770147646","-310.88435770147646"
"30504","-312.7171434495963","-312.7171434495963","-312.7171434495963"
"30668","-333.57952541553414","-333.57952541553414","-333.57952541553414"
"30750","-323.91605467281835","-323.91605467281835","-323.91605467281835"
"30832","-318.6135870188018","-318.6135870188018","-318.6135870188018"
"30914","-320.68524944896706","-320.68524944896706","-320.68524944896706"
"31078","-309.76720251554764","-309.76720251554764","-309.76720251554764"
"31160","-297.81112593969294","-297.81112593969294","-297.81112593969294"
"31242","-336.28353654494725","-336.28353654494725","-336.28353654494725"
"31324","-330.36138873436323","-330.36138873436323","-330.36138873436323"
"31406","-345.91465357369844","-345.91465357369844","-345.91465357369844"
"31570","-299.8034304808622","-299.8034304808622","-299.8034304808622"
"31652","-306.4650307647607","-306.4650307647607","-306.4650307647607"
"31734","-311.2102279697499","-311.2102279697499","-311.2102279697499"
"31816","-307.97952375836434","-307.97952375836434","-307.97952375836434"
"31980","-302.5468663958005","-302.5468663958005","-302.5468663958005"
"32062","-301.9501292706945","-301.9501292706945","-301.9501292706945"
"32144","-328.8733597544183","-328.8733597544183","-328.8733597544183"
"32226","-318.5686137579721","-318.5686137579721","-318.5686137579721"
"32308","-294.2444969323551","-294.2444969323551","-294.2444969323551"
"32472","-314.9650967336055","-314.9650967336055","-314.9650967336055"
"32554","-300.9926584815383","-300.9926584815383","-300.9926584815383"
"32636","-296.43604586987243","-296.43604586987243","-296.43604586987243"
"32718","-318.2684938545951","-318.2684938545951","-318.2684938545951"
"32800","-293.07898247115173","-293.07898247115173","-293.07898247115173"
"32964","-285.3828225568157","-285.3828225568157","-285.3828225568157"
"33046","-329.9683719137645","-329.9683719137645","-329.9683719137645"
"33128","-287.17572094405125","-287.17572094405125","-287.17572094405125"
"33210","-285.1515176435321","-285.1515176435321","-285.1515176435321"
"33374","-287.94431886818654","-287.94431886818654","-287.94431886818654"
"33456","-323.92251376043646","-323.92251376043646","-323.92251376043646"
"33538","-310.1529257079143","-310.1529257079143","-310.1529257079143"
"33620","-292.029832630661","-292.029832630661","-292.029832630661"
"33702","-302.9063108126072","-302.9063108126072","-302.9063108126072"
"33866","-302.7482357368168","-302.7482357368168","-302.7482357368168"
"33948","-257.48460726699227","-257.48460726699227","-257.48460726699227"
"34030","-310.19919488408067","-310.19919488408067","-310.19919488408067"
"34112","-288.2459552500637","-288.2459552500637","-288.2459552500637"
"34276","-319.4488418725895","-319.4488418725895","-319.4488418725895"
"34358","-288.34444571026614","-288.34444571026614","-288.34444571026614"
"34440","-329.3385364938508","-329.3385364938508","-329.3385364938508"
"34522","-325.07429526245784","-325.07429526245784","-325.07429526245784"
"34604","-319.0123365846519","-319.0123365846519","-319.0123365846519"
"34768","-303.5616328779175","-303.5616328779175","-303.5616328779175"
"34850","-298.96083845289303","-298.96083845289303","-298.96083845289303"
"34932","-288.79876770233136","-288.79876770233136","-288.79876770233136"
"35014","-333.78259301632045","-333.78259301632045","-333.78259301632045"
"35178","-307.53086840708625","-307.53086840708625","-307.53086840708625"
"35260","-336.32515563109405","-336.32515563109405","-336.32515563109405"
"35342","-308.05209169007014","-308.05209169007014","-308.05209169007014"
"35424","-284.74100516237195","-284.74100516237195","-284.74100516237195"
"35506","-302.01300333209696","-302.01300333209696","-302.01300333209696"
"35670","-310.27315679109836","-310.27315679109836","-310.27315679109836"
"35752","-281.37708459010554","-281.37708459010554","-281.37708459010554"
"35834","-293.6560661966207","-293.6560661966207","-293.6560661966207"
"35916","-308.54187377866907","-308.54187377866907","-308.54187377866907"
"36080","-306.4894366675476","-306.4894366675476","-306.4894366675476"
"36162","-332.7693474144","-332.7693474144","-332.7693474144"
"36244","-310.4689426954876","-310.4689426954876","-310.4689426954876"
"36326","-328.1321831986468","-328.1321831986468","-328.1321831986468"
"36408","-306.889744322112","-306.889744322112","-306.889744322112"
"36572","-290.1745418737572","-290.1745418737572","-290.1745418737572"
"36654","-360.3921260722442","-360.3921260722442","-360.3921260722442"
"36736","-282.6271104791181","-282.6271104791181","-282.6271104791181"
"36818","-317.52882806617004","-317.52882806617004","-317.52882806617004"
"36900","-296.6744539478136","-296.6744539478136","-296.6744539478136"
"37064","-313.31013197695063","-313.31013197695063","-313.31013197695063"
"37146","-333.2632033288236","-333.2632033288236","-333.2632033288236"
"37228","-283.7337518181052","-283.7337518181052","-283.7337518181052"
"37310","-287.6791652966955","-287.6791652966955","-287.6791652966955"
"37474","-326.79147551993293","-326.79147551993293","-326.79147551993293"
"37556","-297.5950131462545","-297.5950131462545","-297.5950131462545"
"37638","-315.6632657498965","-315.6632657498965","-315.6632657498965"
"37720","-328.0250535704118","-328.0250535704118","-328.0250535704118"
"37802","-281.2942194687827","-281.2942194687827","-281.2942194687827"
"37966","-316.23851030043375","-316.23851030043375","-316.23851030043375"
"38048","-284.72939529685544","-284.72939529685544","-284.72939529685544"
"38130","-267.62861607394564","-267.62861607394564","-267.62861607394564"
"38212","-363.4349489723728","-363.4349489723728","-363.4349489723728"
"38376","-299.97175329867025","-299.97175329867025","-299.97175329867025"
"38458","-321.44446199345043","-321.44446199345043","-321.44446199345043"
"38540","-309.0928050865952","-309.0928050865952","-309.0928050865952"
"38622","-288.9969640572268","-288.9969640572268","-288.9969640572268"
"38704","-330.55748145853016","-330.55748145853016","-330.55748145853016"
"38868","-308.97729103431533","-308.97729103431533","-308.97729103431533"
"38950","-326.5861308616774","-326.5861308616774","-326.5861308616774"
"39032","-310.9631065758826","-310.9631065758826","-310.9631065758826"
"39114","-327.8918607781684","-327.8918607781684","-327.8918607781684"
"39278","-287.4652530331209","-287.4652530331209","-287.4652530331209"
"39360","-294.91094841316664","-294.91094841316664","-294.91094841316664"
"39442","-319.5015811024043","-319.5015811024043","-319.5015811024043"
"39524","-298.746116995013","-298.746116995013","-298.746116995013"
"39606","-314.8488231571132","-314.8488231571132","-314.8488231571132"
"39770","-311.30500163684974","-311.30500163684974","-311.30500163684974"
"39852","-347.9242883969941","-347.9242883969941","-347.9242883969941"
"39934","-313.28302542056895","-313.28302542056895","-313.28302542056895"
"40016","-297.98974927770564","-297.98974927770564","-297.98974927770564"
"40180","-319.74970887706894","-319.74970887706894","-319.74970887706894"
"40262","-308.0669484608121","-308.0669484608121","-308.0669484608121"
"40344","-325.8094218921874","-325.8094218921874","-325.8094218921874"
"40426","-293.5974943317095","-293.5974943317095","-293.5974943317095"
"40508","-321.132124463555","-321.132124463555","-321.132124463555"
"40672","-300.1036159195348","-300.1036159195348","-300.1036159195348"
"40754","-308.6138786637768","-308.6138786637768","-308.6138786637768"
"40836","-325.43089655332057","-325.43089655332057","-325.43089655332057"
"40918","-298.57541658310913","-298.57541658310913","-298.57541658310913"
"41000","-322.48484151666935","-322.48484151666935","-322.48484151666935"
"41164","-359.78408975392756","-359.78408975392756","-359.78408975392756"
"41246","-307.51562231120494","-307.51562231120494","-307.51562231120494"
"41328","-297.2218537990727","-297.2218537990727","-297.2218537990727"
"41410","-326.5210928061448","-326.5210928061448","-326.5210928061448"
"41574","-339.70866050229563","-339.70866050229563","-339.70866050229563"
"41656","-300.5505157444811","-300.5505157444811","-300.5505157444811"
"41738","-310.6122344543993","-310.6122344543993","-310.6122344543993"
"41820","-334.0666599507032","-334.0666599507032","-334.0666599507032"
"41902","-324.1864423916338","-324.1864423916338","-324.1864423916338"
"42066","-327.5990200137476","-327.5990200137476","-327.5990200137476"
"42148","-318.8137295990904","-318.8137295990904","-318.8137295990904"
"42230","-307.735419551756","-307.735419551756","-307.735419551756"
"42312","-313.6591790914025","-313.6591790914025","-313.6591790914025"
"42476","-335.12647296783246","-335.12647296783246","-335.12647296783246"
"42558","-302.7156857355208","-302.7156857355208","-302.7156857355208"
"42640","-294.43913574960237","-294.43913574960237","-294.43913574960237"
"42722","-312.3298775496998","-312.3298775496998","-312.3298775496998"
"42804","-301.2776513350072","-301.2776513350072","-301.2776513350072"
"42968","-302.64307111781295","-302.64307111781295","-302.64307111781295"
"43050","-335.5514878348034","-335.5514878348034","-335.5514878348034"
"43132","-300.960704542709","-300.960704542709","-300.960704542709"
"43214","-321.56583025875653","-321.56583025875653","-321.56583025875653"
"43378","-299.8159855882393","-299.8159855882393","-299.8159855882393"
