"Step","dandy-snowflake-25 - episode/return","dandy-snowflake-25 - episode/return__MIN","dandy-snowflake-25 - episode/return__MAX","legendary-plasma-24 - episode/return","legendary-plasma-24 - episode/return__MIN","legendary-plasma-24 - episode/return__MAX","gentle-mountain-20 - episode/return","gentle-mountain-20 - episode/return__MIN","gentle-mountain-20 - episode/return__MAX"
"12431","","","","859.6900634765625","859.6900634765625","859.6900634765625","","",""
"12557","799.385498046875","799.385498046875","799.385498046875","","","","","",""
"12660","","","","","","","1180.41357421875","1180.41357421875","1180.41357421875"
"12664","","","","747.9454956054688","747.9454956054688","747.9454956054688","","",""
"12784","711.6295166015625","711.6295166015625","711.6295166015625","","","","","",""
"12923","","","","856.1268310546875","856.1268310546875","856.1268310546875","","",""
"12972","","","","","","","1009.2116088867188","1009.2116088867188","1009.2116088867188"
"13032","804.1090698242188","804.1090698242188","804.1090698242188","","","","","",""
"13158","","","","779.4739990234375","779.4739990234375","779.4739990234375","","",""
"13296","838.5863647460938","838.5863647460938","838.5863647460938","","","","","",""
"13438","","","","","","","1542.2611083984375","1542.2611083984375","1542.2611083984375"
"13476","","","","1031.302978515625","1031.302978515625","1031.302978515625","","",""
"13547","835.116455078125","835.116455078125","835.116455078125","","","","","",""
"13722","","","","828.4876098632812","828.4876098632812","828.4876098632812","","",""
"13738","","","","","","","963.2598876953125","963.2598876953125","963.2598876953125"
"13785","765.7198486328125","765.7198486328125","765.7198486328125","","","","","",""
"13976","564.5043334960938","564.5043334960938","564.5043334960938","","","","","",""
"14027","","","","","","","944.248046875","944.248046875","944.248046875"
"14061","","","","1083.2196044921875","1083.2196044921875","1083.2196044921875","","",""
"14219","777.4654541015625","777.4654541015625","777.4654541015625","","","","","",""
"14291","","","","","","","881.9507446289062","881.9507446289062","881.9507446289062"
"14311","","","","815.4853515625","815.4853515625","815.4853515625","","",""
"14496","870.7830810546875","870.7830810546875","870.7830810546875","","","","","",""
"14562","","","","834.422119140625","834.422119140625","834.422119140625","","",""
"14573","","","","","","","915.6587524414062","915.6587524414062","915.6587524414062"
"14721","696.8363037109375","696.8363037109375","696.8363037109375","","","","","",""
"14752","","","","606.5812377929688","606.5812377929688","606.5812377929688","","",""
"14917","","","","","","","1186.2418212890625","1186.2418212890625","1186.2418212890625"
"14958","742.5103759765625","742.5103759765625","742.5103759765625","","","","","",""
"15052","","","","961.62109375","961.62109375","961.62109375","","",""
"15196","","","","","","","931.98974609375","931.98974609375","931.98974609375"
"15275","983.6244506835938","983.6244506835938","983.6244506835938","","","","","",""
"15348","","","","917.637451171875","917.637451171875","917.637451171875","","",""
"15436","","","","","","","762.4651489257812","762.4651489257812","762.4651489257812"
"15499","706.1300659179688","706.1300659179688","706.1300659179688","","","","","",""
"15599","","","","821.89013671875","821.89013671875","821.89013671875","","",""
"15713","","","","","","","924.649658203125","924.649658203125","924.649658203125"
"15727","751.3880615234375","751.3880615234375","751.3880615234375","","","","","",""
"15849","","","","828.3103637695312","828.3103637695312","828.3103637695312","","",""
"15952","711.1509399414062","711.1509399414062","711.1509399414062","","","","","",""
"15995","","","","","","","937.0462036132812","937.0462036132812","937.0462036132812"
"16132","","","","919.4429321289062","919.4429321289062","919.4429321289062","","",""
"16256","969.1205444335938","969.1205444335938","969.1205444335938","","","","","",""
"16331","","","","","","","1103.6744384765625","1103.6744384765625","1103.6744384765625"
"16356","","","","722.409912109375","722.409912109375","722.409912109375","","",""
"16483","729.268798828125","729.268798828125","729.268798828125","","","","","",""
"16557","","","","633.4500122070312","633.4500122070312","633.4500122070312","","",""
"16572","","","","","","","783.6996459960938","783.6996459960938","783.6996459960938"
"16732","811.1810302734375","811.1810302734375","811.1810302734375","","","","","",""
"16797","","","","782.9478149414062","782.9478149414062","782.9478149414062","","",""
"16852","","","","","","","927.171875","927.171875","927.171875"
"16973","799.59375","799.59375","799.59375","","","","","",""
"17020","","","","702.167724609375","702.167724609375","702.167724609375","","",""
"17105","","","","","","","823.380615234375","823.380615234375","823.380615234375"
"17224","830.6644897460938","830.6644897460938","830.6644897460938","","","","","",""
"17226","","","","641.4297485351562","641.4297485351562","641.4297485351562","","",""
"17433","","","","652.560546875","652.560546875","652.560546875","","",""
"17452","724.2596435546875","724.2596435546875","724.2596435546875","","","","","",""
"17466","","","","","","","1203.151611328125","1203.151611328125","1203.151611328125"
"17641","","","","643.2488403320312","643.2488403320312","643.2488403320312","","",""
"17669","681.7775268554688","681.7775268554688","681.7775268554688","","","","","",""
"17741","","","","","","","904.017333984375","904.017333984375","904.017333984375"
"17863","","","","703.4149780273438","703.4149780273438","703.4149780273438","","",""
"17883","663.2823486328125","663.2823486328125","663.2823486328125","","","","","",""
"17980","","","","","","","774.5325317382812","774.5325317382812","774.5325317382812"
"18064","","","","627.1150512695312","627.1150512695312","627.1150512695312","","",""
"18165","886.5953979492188","886.5953979492188","886.5953979492188","","","","","",""
"18260","","","","593.436767578125","593.436767578125","593.436767578125","","",""
"18336","","","","","","","1200.7733154296875","1200.7733154296875","1200.7733154296875"
"18376","663.962646484375","663.962646484375","663.962646484375","","","","","",""
"18421","","","","465.5970153808594","465.5970153808594","465.5970153808594","","",""
"18577","658.0946655273438","658.0946655273438","658.0946655273438","","","","","",""
"18611","","","","585.4290771484375","585.4290771484375","585.4290771484375","","",""
"18641","","","","","","","999.538330078125","999.538330078125","999.538330078125"
"18783","637.8745727539062","637.8745727539062","637.8745727539062","","","","","",""
"18801","","","","598.2962646484375","598.2962646484375","598.2962646484375","","",""
"18885","","","","","","","805.0543212890625","805.0543212890625","805.0543212890625"
"19008","726.0712280273438","726.0712280273438","726.0712280273438","","","","","",""
"19028","","","","725.509521484375","725.509521484375","725.509521484375","","",""
"19134","","","","","","","818.883544921875","818.883544921875","818.883544921875"
"19232","","","","626.1853637695312","626.1853637695312","626.1853637695312","","",""
"19279","854.9884643554688","854.9884643554688","854.9884643554688","","","","","",""
"19447","","","","","","","1026.6414794921875","1026.6414794921875","1026.6414794921875"
"19498","700.8089599609375","700.8089599609375","700.8089599609375","","","","","",""
"19501","","","","869.6553955078125","869.6553955078125","869.6553955078125","","",""
"19690","","","","","","","782.3372192382812","782.3372192382812","782.3372192382812"
"19698","","","","615.0740356445312","615.0740356445312","615.0740356445312","","",""
"19748","842.5846557617188","842.5846557617188","842.5846557617188","","","","","",""
"19903","","","","633.6925659179688","633.6925659179688","633.6925659179688","","",""
"19951","","","","","","","873.99951171875","873.99951171875","873.99951171875"
"20004","858.1702270507812","858.1702270507812","858.1702270507812","","","","","",""
"20099","","","","615.0040283203125","615.0040283203125","615.0040283203125","","",""
"20190","","","","","","","787.83447265625","787.83447265625","787.83447265625"
"20223","701.2293701171875","701.2293701171875","701.2293701171875","","","","","",""
"20343","","","","812.4735717773438","812.4735717773438","812.4735717773438","","",""
"20434","","","","","","","798.7167358398438","798.7167358398438","798.7167358398438"
"20449","752.9010620117188","752.9010620117188","752.9010620117188","","","","","",""
"20511","","","","488.0199279785156","488.0199279785156","488.0199279785156","","",""
"20681","","","","","","","797.4216918945312","797.4216918945312","797.4216918945312"
"20685","773.886474609375","773.886474609375","773.886474609375","","","","","",""
"20690","","","","553.7990112304688","553.7990112304688","553.7990112304688","","",""
"20863","","","","521.2433471679688","521.2433471679688","521.2433471679688","","",""
"20907","","","","","","","709.0347900390625","709.0347900390625","709.0347900390625"
"20911","731.7870483398438","731.7870483398438","731.7870483398438","","","","","",""
"21053","","","","592.2941284179688","592.2941284179688","592.2941284179688","","",""
"21122","656.75537109375","656.75537109375","656.75537109375","","","","","",""
"21230","","","","","","","1065.6324462890625","1065.6324462890625","1065.6324462890625"
"21246","","","","607.9848022460938","607.9848022460938","607.9848022460938","","",""
"21349","759.3209228515625","759.3209228515625","759.3209228515625","","","","","",""
"21463","","","","","","","751.0554809570312","751.0554809570312","751.0554809570312"
"21465","","","","693.8226318359375","693.8226318359375","693.8226318359375","","",""
"21525","581.0789794921875","581.0789794921875","581.0789794921875","","","","","",""
"21679","","","","","","","669.890869140625","669.890869140625","669.890869140625"
"21712","","","","821.5372924804688","821.5372924804688","821.5372924804688","","",""
"21744","692.5005493164062","692.5005493164062","692.5005493164062","","","","","",""
"21901","","","","","","","690.570556640625","690.570556640625","690.570556640625"
"21984","799.3402099609375","799.3402099609375","799.3402099609375","","","","","",""
"21987","","","","894.30859375","894.30859375","894.30859375","","",""
"22192","676.522705078125","676.522705078125","676.522705078125","","","","","",""
"22212","","","","724.3213500976562","724.3213500976562","724.3213500976562","","",""
"22214","","","","","","","988.558349609375","988.558349609375","988.558349609375"
"22403","678.860107421875","678.860107421875","678.860107421875","","","","","",""
"22470","","","","864.7926635742188","864.7926635742188","864.7926635742188","","",""
"22483","","","","","","","847.8072509765625","847.8072509765625","847.8072509765625"
"22638","782.32763671875","782.32763671875","782.32763671875","","","","","",""
"22670","","","","617.3368530273438","617.3368530273438","617.3368530273438","","",""
"22851","","","","","","","1184.546142578125","1184.546142578125","1184.546142578125"
"22888","828.2471923828125","828.2471923828125","828.2471923828125","","","","","",""
"22909","","","","796.299072265625","796.299072265625","796.299072265625","","",""
"23109","","","","635.1239624023438","635.1239624023438","635.1239624023438","","",""
"23111","722.2828369140625","722.2828369140625","722.2828369140625","","","","","",""
"23171","","","","","","","1062.6307373046875","1062.6307373046875","1062.6307373046875"
"23325","","","","690.9482421875","690.9482421875","690.9482421875","","",""
"23343","770.238525390625","770.238525390625","770.238525390625","","","","","",""
"23422","","","","","","","840.6722412109375","840.6722412109375","840.6722412109375"
"23522","","","","618.5816650390625","618.5816650390625","618.5816650390625","","",""
"23587","824.6317138671875","824.6317138671875","824.6317138671875","","","","","",""
"23687","","","","","","","860.0809326171875","860.0809326171875","860.0809326171875"
"23730","","","","663.51416015625","663.51416015625","663.51416015625","","",""
"23831","822.1227416992188","822.1227416992188","822.1227416992188","","","","","",""
"23948","","","","","","","854.7090454101562","854.7090454101562","854.7090454101562"
"23990","","","","866.8353881835938","866.8353881835938","866.8353881835938","","",""
"24088","854.263671875","854.263671875","854.263671875","","","","","",""
"24222","","","","752.3012084960938","752.3012084960938","752.3012084960938","","",""
"24243","","","","","","","953.9764404296875","953.9764404296875","953.9764404296875"
"24286","651.5393676757812","651.5393676757812","651.5393676757812","","","","","",""
"24460","","","","797.6000366210938","797.6000366210938","797.6000366210938","","",""
"24508","","","","","","","868.4743041992188","868.4743041992188","868.4743041992188"
"24544","859.4168090820312","859.4168090820312","859.4168090820312","","","","","",""
"24699","","","","798.420654296875","798.420654296875","798.420654296875","","",""
"24711","","","","","","","634.5468139648438","634.5468139648438","634.5468139648438"
"24753","669.77783203125","669.77783203125","669.77783203125","","","","","",""
"24904","","","","638.2699584960938","638.2699584960938","638.2699584960938","","",""
"24955","654.2227783203125","654.2227783203125","654.2227783203125","","","","","",""
"24977","","","","","","","859.9784545898438","859.9784545898438","859.9784545898438"
"25094","","","","620.0511474609375","620.0511474609375","620.0511474609375","","",""
"25191","794.326904296875","794.326904296875","794.326904296875","","","","","",""
"25297","","","","636.3350830078125","636.3350830078125","636.3350830078125","","",""
"25385","639.2442016601562","639.2442016601562","639.2442016601562","","","","","",""
"25390","","","","","","","1364.1483154296875","1364.1483154296875","1364.1483154296875"
"25502","","","","646.5135498046875","646.5135498046875","646.5135498046875","","",""
"25569","605.594970703125","605.594970703125","605.594970703125","","","","","",""
"25696","","","","615.8662719726562","615.8662719726562","615.8662719726562","1003.2667846679688","1003.2667846679688","1003.2667846679688"
"25802","752.2459106445312","752.2459106445312","752.2459106445312","","","","","",""
"25905","","","","663.97705078125","663.97705078125","663.97705078125","","",""
"25957","","","","","","","865.3463745117188","865.3463745117188","865.3463745117188"
"26039","788.2156372070312","788.2156372070312","788.2156372070312","","","","","",""
"26133","","","","751.79296875","751.79296875","751.79296875","","",""
"26209","","","","","","","848.7606811523438","848.7606811523438","848.7606811523438"
"26282","820.7628784179688","820.7628784179688","820.7628784179688","","","","","",""
"26337","","","","638.676025390625","638.676025390625","638.676025390625","","",""
"26490","","","","","","","898.2125854492188","898.2125854492188","898.2125854492188"
"26529","801.6774291992188","801.6774291992188","801.6774291992188","","","","","",""
"26546","","","","666.740478515625","666.740478515625","666.740478515625","","",""
"26717","616.4590454101562","616.4590454101562","616.4590454101562","","","","","",""
"26721","","","","","","","755.705810546875","755.705810546875","755.705810546875"
"26740","","","","623.0943603515625","623.0943603515625","623.0943603515625","","",""
"26958","","","","705.9825439453125","705.9825439453125","705.9825439453125","","",""
"26960","789.949462890625","789.949462890625","789.949462890625","","","","","",""
"27037","","","","","","","1035.5235595703125","1035.5235595703125","1035.5235595703125"
"27166","640.085693359375","640.085693359375","640.085693359375","","","","","",""
"27197","","","","801.7369995117188","801.7369995117188","801.7369995117188","","",""
"27316","","","","","","","884.404052734375","884.404052734375","884.404052734375"
"27329","521.4249877929688","521.4249877929688","521.4249877929688","","","","","",""
"27394","","","","625.635986328125","625.635986328125","625.635986328125","","",""
"27515","582.8772583007812","582.8772583007812","582.8772583007812","","","","","",""
"27530","","","","","","","662.7052612304688","662.7052612304688","662.7052612304688"
"27598","","","","652.342529296875","652.342529296875","652.342529296875","","",""
"27749","","","","","","","687.4590454101562","687.4590454101562","687.4590454101562"
"27785","862.3095092773438","862.3095092773438","862.3095092773438","","","","","",""
"27789","","","","595.8792114257812","595.8792114257812","595.8792114257812","","",""
"27955","","","","","","","630.6159057617188","630.6159057617188","630.6159057617188"
"28051","","","","867.8379516601562","867.8379516601562","867.8379516601562","","",""
"28094","999.4148559570312","999.4148559570312","999.4148559570312","","","","","",""
"28170","","","","","","","661.4227294921875","661.4227294921875","661.4227294921875"
"28261","","","","666.0068969726562","666.0068969726562","666.0068969726562","","",""
"28270","563.813232421875","563.813232421875","563.813232421875","","","","","",""
"28392","","","","","","","703.41650390625","703.41650390625","703.41650390625"
"28471","","","","672.68359375","672.68359375","672.68359375","","",""
"28514","808.9632568359375","808.9632568359375","808.9632568359375","","","","","",""
"28629","","","","","","","779.282958984375","779.282958984375","779.282958984375"
"28664","","","","636.3070068359375","636.3070068359375","636.3070068359375","","",""
"28745","763.1663818359375","763.1663818359375","763.1663818359375","","","","","",""
"28829","","","","","","","621.4281005859375","621.4281005859375","621.4281005859375"
"28879","","","","690.4258422851562","690.4258422851562","690.4258422851562","","",""
"28930","588.260009765625","588.260009765625","588.260009765625","","","","","",""
"29089","","","","685.7153930664062","685.7153930664062","685.7153930664062","","",""
"29097","512.3143310546875","512.3143310546875","512.3143310546875","","","","","",""
"29136","","","","","","","1011.8875732421875","1011.8875732421875","1011.8875732421875"
"29315","","","","754.8523559570312","754.8523559570312","754.8523559570312","","",""
"29343","799.2822875976562","799.2822875976562","799.2822875976562","","","","","",""
"29385","","","","","","","835.0494384765625","835.0494384765625","835.0494384765625"
"29529","","","","693.8567504882812","693.8567504882812","693.8567504882812","","",""
"29540","614.6705932617188","614.6705932617188","614.6705932617188","","","","","",""
"29606","","","","","","","698.2606201171875","698.2606201171875","698.2606201171875"
"29731","","","","657.962890625","657.962890625","657.962890625","","",""
"29755","692.7988891601562","692.7988891601562","692.7988891601562","","","","","",""
"29839","","","","","","","760.8201904296875","760.8201904296875","760.8201904296875"
"29940","606.67919921875","606.67919921875","606.67919921875","","","","","",""
"29943","","","","682.1550903320312","682.1550903320312","682.1550903320312","","",""
"30029","","","","","","","588.5772705078125","588.5772705078125","588.5772705078125"
"30105","512.7937622070312","512.7937622070312","512.7937622070312","","","","","",""
"30155","","","","680.7470092773438","680.7470092773438","680.7470092773438","","",""
"30235","","","","","","","644.6675415039062","644.6675415039062","644.6675415039062"
"30264","455.147216796875","455.147216796875","455.147216796875","","","","","",""
"30355","","","","637.4830322265625","637.4830322265625","637.4830322265625","","",""
"30380","301.5928649902344","301.5928649902344","301.5928649902344","","","","","",""
"30498","","","","","","","839.0200805664062","839.0200805664062","839.0200805664062"
"30552","550.10693359375","550.10693359375","550.10693359375","","","","","",""
"30559","","","","658.1406860351562","658.1406860351562","658.1406860351562","","",""
"30754","615.6599731445312","615.6599731445312","615.6599731445312","","","","","",""
"30756","","","","632.8140869140625","632.8140869140625","632.8140869140625","","",""
"30760","","","","","","","881.3690795898438","881.3690795898438","881.3690795898438"
"30967","","","","666.6887817382812","666.6887817382812","666.6887817382812","","",""
"30968","","","","","","","645.6546630859375","645.6546630859375","645.6546630859375"
"30970","695.2933349609375","695.2933349609375","695.2933349609375","","","","","",""
"31147","540.130615234375","540.130615234375","540.130615234375","","","","","",""
"31149","","","","586.3687744140625","586.3687744140625","586.3687744140625","","",""
"31213","","","","","","","807.2678833007812","807.2678833007812","807.2678833007812"
"31334","","","","605.5278930664062","605.5278930664062","605.5278930664062","","",""
"31355","658.3134765625","658.3134765625","658.3134765625","","","","","",""
"31405","","","","","","","597.0306396484375","597.0306396484375","597.0306396484375"
"31529","","","","614.39697265625","614.39697265625","614.39697265625","","",""
"31539","581.5376586914062","581.5376586914062","581.5376586914062","","","","","",""
"31707","499.68109130859375","499.68109130859375","499.68109130859375","","","","","",""
"31725","","","","626.5753784179688","626.5753784179688","626.5753784179688","","",""
"31734","","","","","","","1115.125","1115.125","1115.125"
"31915","653.32763671875","653.32763671875","653.32763671875","","","","","",""
"31923","","","","657.44189453125","657.44189453125","657.44189453125","","",""
"31941","","","","","","","648.0502319335938","648.0502319335938","648.0502319335938"
"32112","","","","617.8922119140625","617.8922119140625","617.8922119140625","","",""
"32121","654.164306640625","654.164306640625","654.164306640625","","","","","",""
"32165","","","","","","","721.8319091796875","721.8319091796875","721.8319091796875"
"32285","","","","572.1748657226562","572.1748657226562","572.1748657226562","","",""
"32319","618.3448486328125","618.3448486328125","618.3448486328125","","","","","",""
"32404","","","","","","","783.8128051757812","783.8128051757812","783.8128051757812"
"32485","","","","643.5562133789062","643.5562133789062","643.5562133789062","","",""
"32496","566.4948120117188","566.4948120117188","566.4948120117188","","","","","",""
"32651","","","","","","","826.2858276367188","826.2858276367188","826.2858276367188"
"32675","","","","610.13134765625","610.13134765625","610.13134765625","","",""
"32712","686.2169799804688","686.2169799804688","686.2169799804688","","","","","",""
"32860","","","","599.851806640625","599.851806640625","599.851806640625","649.196044921875","649.196044921875","649.196044921875"
"32906","618.1390991210938","618.1390991210938","618.1390991210938","","","","","",""
"33062","","","","","","","621.8193969726562","621.8193969726562","621.8193969726562"
"33081","","","","721.9288330078125","721.9288330078125","721.9288330078125","","",""
"33082","556.0234985351562","556.0234985351562","556.0234985351562","","","","","",""
"33256","","","","578.6273193359375","578.6273193359375","578.6273193359375","","",""
"33263","","","","","","","616.9723510742188","616.9723510742188","616.9723510742188"
"33277","620.6539306640625","620.6539306640625","620.6539306640625","","","","","",""
"33446","","","","618.9398193359375","618.9398193359375","618.9398193359375","","",""
"33468","","","","","","","644.1873779296875","644.1873779296875","644.1873779296875"
"33476","623.5985717773438","623.5985717773438","623.5985717773438","","","","","",""
"33641","","","","635.0029907226562","635.0029907226562","635.0029907226562","","",""
"33655","568.807373046875","568.807373046875","568.807373046875","","","","","",""
"33679","","","","","","","667.6788940429688","667.6788940429688","667.6788940429688"
"33827","524.3460693359375","524.3460693359375","524.3460693359375","598.4725341796875","598.4725341796875","598.4725341796875","","",""
"33878","","","","","","","607.1127319335938","607.1127319335938","607.1127319335938"
"34010","","","","598.8933715820312","598.8933715820312","598.8933715820312","","",""
"34029","630.0650024414062","630.0650024414062","630.0650024414062","","","","","",""
"34081","","","","","","","637.638916015625","637.638916015625","637.638916015625"
"34194","489.5926818847656","489.5926818847656","489.5926818847656","","","","","",""
"34197","","","","611.3611450195312","611.3611450195312","611.3611450195312","","",""
"34265","","","","","","","549.7422485351562","549.7422485351562","549.7422485351562"
"34371","","","","575.249755859375","575.249755859375","575.249755859375","","",""
"34401","656.5611572265625","656.5611572265625","656.5611572265625","","","","","",""
"34462","","","","","","","607.7022094726562","607.7022094726562","607.7022094726562"
"34555","","","","608.9451904296875","608.9451904296875","608.9451904296875","","",""
"34603","636.8246459960938","636.8246459960938","636.8246459960938","","","","","",""
"34659","","","","","","","616.169921875","616.169921875","616.169921875"
"34753","","","","625.947021484375","625.947021484375","625.947021484375","","",""
"34773","527.7460327148438","527.7460327148438","527.7460327148438","","","","","",""
"34878","","","","","","","703.8561401367188","703.8561401367188","703.8561401367188"
"34934","","","","587.4957885742188","587.4957885742188","587.4957885742188","","",""
"34952","571.8829345703125","571.8829345703125","571.8829345703125","","","","","",""
"35079","","","","","","","619.3246459960938","619.3246459960938","619.3246459960938"
"35112","472.9015808105469","472.9015808105469","472.9015808105469","","","","","",""
"35134","","","","644.4215087890625","644.4215087890625","644.4215087890625","","",""
"35248","","","","","","","505.1219482421875","505.1219482421875","505.1219482421875"
"35279","506.0467529296875","506.0467529296875","506.0467529296875","","","","","",""
