"Step","TARRv2-shift_s123 - agent_reward","TARRv2-shift_s123 - agent_reward__MIN","TARRv2-shift_s123 - agent_reward__MAX","TARRv2-isotanh_s123 - agent_reward","TARRv2-isotanh_s123 - agent_reward__MIN","TARRv2-isotanh_s123 - agent_reward__MAX","TARRv2-none_s123 - agent_reward","TARRv2-none_s123 - agent_reward__MIN","TARRv2-none_s123 - agent_reward__MAX","TARRv2-softmax_s123 - agent_reward","TARRv2-softmax_s123 - agent_reward__MIN","TARRv2-softmax_s123 - agent_reward__MAX","TAR2-softmax_s123 - agent_reward","TAR2-softmax_s123 - agent_reward__MIN","TAR2-softmax_s123 - agent_reward__MAX","spring-music-9 - agent_reward","spring-music-9 - agent_reward__MIN","spring-music-9 - agent_reward__MAX"
"1066","-432.8423166373097","-432.8423166373097","-432.8423166373097","-432.8423166373097","-432.8423166373097","-432.8423166373097","-432.8423166373097","-432.8423166373097","-432.8423166373097","-432.8423166373097","-432.8423166373097","-432.8423166373097","-435.0960768580839","-435.0960768580839","-435.0960768580839","-430.4128915871995","-430.4128915871995","-430.4128915871995"
"1148","-445.1436241902881","-445.1436241902881","-445.1436241902881","-445.1436241902881","-445.1436241902881","-445.1436241902881","-445.1436241902881","-445.1436241902881","-445.1436241902881","-445.1436241902881","-445.1436241902881","-445.1436241902881","-444.70154924910634","-444.70154924910634","-444.70154924910634","-465.2461372659833","-465.2461372659833","-465.2461372659833"
"1230","-431.0340928169338","-431.0340928169338","-431.0340928169338","-431.0340928169338","-431.0340928169338","-431.0340928169338","-431.0340928169338","-431.0340928169338","-431.0340928169338","-431.0340928169338","-431.0340928169338","-431.0340928169338","-423.97610164603947","-423.97610164603947","-423.97610164603947","-456.08191910782443","-456.08191910782443","-456.08191910782443"
"1312","-421.34744284341684","-421.34744284341684","-421.34744284341684","-421.34744284341684","-421.34744284341684","-421.34744284341684","-421.34744284341684","-421.34744284341684","-421.34744284341684","-421.34744284341684","-421.34744284341684","-421.34744284341684","-420.21475100758397","-420.21475100758397","-420.21475100758397","-451.021645476307","-451.021645476307","-451.021645476307"
"1476","-441.8803522063258","-441.8803522063258","-441.8803522063258","-441.8803522063258","-441.8803522063258","-441.8803522063258","-441.8803522063258","-441.8803522063258","-441.8803522063258","-441.8803522063258","-441.8803522063258","-441.8803522063258","-446.19667041367046","-446.19667041367046","-446.19667041367046","-435.2428018104851","-435.2428018104851","-435.2428018104851"
"1558","-439.4440444091727","-439.4440444091727","-439.4440444091727","-439.4440444091727","-439.4440444091727","-439.4440444091727","-439.4440444091727","-439.4440444091727","-439.4440444091727","-439.4440444091727","-439.4440444091727","-439.4440444091727","-442.61455945987603","-442.61455945987603","-442.61455945987603","-436.97243094344026","-436.97243094344026","-436.97243094344026"
"1640","-438.2865659057663","-438.2865659057663","-438.2865659057663","-438.2865659057663","-438.2865659057663","-438.2865659057663","-438.2865659057663","-438.2865659057663","-438.2865659057663","-438.2865659057663","-438.2865659057663","-438.2865659057663","-435.11067847129306","-435.11067847129306","-435.11067847129306","-434.4435503998325","-434.4435503998325","-434.4435503998325"
"1722","-459.7536532248558","-459.7536532248558","-459.7536532248558","-459.7536532248558","-459.7536532248558","-459.7536532248558","-459.7536532248558","-459.7536532248558","-459.7536532248558","-459.7536532248558","-459.7536532248558","-459.7536532248558","-453.515668107382","-453.515668107382","-453.515668107382","-450.4253142870973","-450.4253142870973","-450.4253142870973"
"1804","-433.8000052678097","-433.8000052678097","-433.8000052678097","-433.8000052678097","-433.8000052678097","-433.8000052678097","-433.8000052678097","-433.8000052678097","-433.8000052678097","-433.8000052678097","-433.8000052678097","-433.8000052678097","-437.75510526932175","-437.75510526932175","-437.75510526932175","-451.12837348492263","-451.12837348492263","-451.12837348492263"
"1968","-455.29009195220357","-455.29009195220357","-455.29009195220357","-455.29009195220357","-455.29009195220357","-455.29009195220357","-455.29009195220357","-455.29009195220357","-455.29009195220357","-455.29009195220357","-455.29009195220357","-455.29009195220357","-457.1707076474173","-457.1707076474173","-457.1707076474173","-452.7586920585252","-452.7586920585252","-452.7586920585252"
"2050","-466.214416655228","-466.214416655228","-466.214416655228","-466.214416655228","-466.214416655228","-466.214416655228","-466.214416655228","-466.214416655228","-466.214416655228","-466.214416655228","-466.214416655228","-466.214416655228","-463.5544929394389","-463.5544929394389","-463.5544929394389","-456.49897199279405","-456.49897199279405","-456.49897199279405"
"2132","-494.75235595407145","-494.75235595407145","-494.75235595407145","-494.75235595407145","-494.75235595407145","-494.75235595407145","-494.75235595407145","-494.75235595407145","-494.75235595407145","-494.75235595407145","-494.75235595407145","-494.75235595407145","-490.01740114568844","-490.01740114568844","-490.01740114568844","-461.65813549552973","-461.65813549552973","-461.65813549552973"
"2214","-446.72644058866325","-446.72644058866325","-446.72644058866325","-446.72644058866325","-446.72644058866325","-446.72644058866325","-446.72644058866325","-446.72644058866325","-446.72644058866325","-446.72644058866325","-446.72644058866325","-446.72644058866325","-449.425162743633","-449.425162743633","-449.425162743633","-447.9622883280874","-447.9622883280874","-447.9622883280874"
"2378","-428.961138864758","-428.961138864758","-428.961138864758","-428.961138864758","-428.961138864758","-428.961138864758","-428.961138864758","-428.961138864758","-428.961138864758","-428.961138864758","-428.961138864758","-428.961138864758","-433.7821836119199","-433.7821836119199","-433.7821836119199","-426.9772746773987","-426.9772746773987","-426.9772746773987"
"2460","-429.55328848812775","-429.55328848812775","-429.55328848812775","-429.55328848812775","-429.55328848812775","-429.55328848812775","-429.55328848812775","-429.55328848812775","-429.55328848812775","-429.55328848812775","-429.55328848812775","-429.55328848812775","-436.4827150634377","-436.4827150634377","-436.4827150634377","-424.0853436134265","-424.0853436134265","-424.0853436134265"
"2542","-409.0407071715406","-409.0407071715406","-409.0407071715406","-409.0407071715406","-409.0407071715406","-409.0407071715406","-409.0407071715406","-409.0407071715406","-409.0407071715406","-409.0407071715406","-409.0407071715406","-409.0407071715406","-410.93043262456683","-410.93043262456683","-410.93043262456683","-417.45717292017775","-417.45717292017775","-417.45717292017775"
"2624","-432.6558231478911","-432.6558231478911","-432.6558231478911","-432.6558231478911","-432.6558231478911","-432.6558231478911","-432.6558231478911","-432.6558231478911","-432.6558231478911","-432.6558231478911","-432.6558231478911","-432.6558231478911","-429.42941963439836","-429.42941963439836","-429.42941963439836","-437.73045876993586","-437.73045876993586","-437.73045876993586"
"2706","-422.4189399942332","-422.4189399942332","-422.4189399942332","-422.4189399942332","-422.4189399942332","-422.4189399942332","-422.4189399942332","-422.4189399942332","-422.4189399942332","-422.4189399942332","-422.4189399942332","-422.4189399942332","-419.12866969685916","-419.12866969685916","-419.12866969685916","-442.49059634254047","-442.49059634254047","-442.49059634254047"
"2870","-432.36048827379045","-432.36048827379045","-432.36048827379045","-432.36048827379045","-432.36048827379045","-432.36048827379045","-432.36048827379045","-432.36048827379045","-432.36048827379045","-432.36048827379045","-432.36048827379045","-432.36048827379045","-423.71616772497566","-423.71616772497566","-423.71616772497566","-449.2647309575992","-449.2647309575992","-449.2647309575992"
"2952","-418.5655551147318","-418.5655551147318","-418.5655551147318","-418.5655551147318","-418.5655551147318","-418.5655551147318","-418.5655551147318","-418.5655551147318","-418.5655551147318","-418.5655551147318","-418.5655551147318","-418.5655551147318","-426.4012350548247","-426.4012350548247","-426.4012350548247","-421.49937535653146","-421.49937535653146","-421.49937535653146"
"3034","-452.19348889353125","-452.19348889353125","-452.19348889353125","-452.19348889353125","-452.19348889353125","-452.19348889353125","-452.19348889353125","-452.19348889353125","-452.19348889353125","-452.19348889353125","-452.19348889353125","-452.19348889353125","-456.3537746116281","-456.3537746116281","-456.3537746116281","-433.97090733039784","-433.97090733039784","-433.97090733039784"
"3116","-416.8207086512627","-416.8207086512627","-416.8207086512627","-416.8207086512627","-416.8207086512627","-416.8207086512627","-416.8207086512627","-416.8207086512627","-416.8207086512627","-416.8207086512627","-416.8207086512627","-416.8207086512627","-414.9119687695625","-414.9119687695625","-414.9119687695625","-444.55677355285593","-444.55677355285593","-444.55677355285593"
"3280","-449.6414141765037","-449.6414141765037","-449.6414141765037","-449.6414141765037","-449.6414141765037","-449.6414141765037","-449.6414141765037","-449.6414141765037","-449.6414141765037","-449.6414141765037","-449.6414141765037","-449.6414141765037","-448.16136446311594","-448.16136446311594","-448.16136446311594","-434.44581355624126","-434.44581355624126","-434.44581355624126"
"3362","-437.3218207567939","-437.3218207567939","-437.3218207567939","-437.3218207567939","-437.3218207567939","-437.3218207567939","-437.3218207567939","-437.3218207567939","-437.3218207567939","-437.3218207567939","-437.3218207567939","-437.3218207567939","-450.69749549823825","-450.69749549823825","-450.69749549823825","-417.47879199511016","-417.47879199511016","-417.47879199511016"
"3444","-437.42716008115843","-437.42716008115843","-437.42716008115843","-437.42716008115843","-437.42716008115843","-437.42716008115843","-437.42716008115843","-437.42716008115843","-437.42716008115843","-437.42716008115843","-437.42716008115843","-437.42716008115843","-442.85276072539835","-442.85276072539835","-442.85276072539835","-418.30275697788073","-418.30275697788073","-418.30275697788073"
"3526","-391.2478351363882","-391.2478351363882","-391.2478351363882","-391.2478351363882","-391.2478351363882","-391.2478351363882","-391.2478351363882","-391.2478351363882","-391.2478351363882","-391.2478351363882","-391.2478351363882","-391.2478351363882","-394.34511605573624","-394.34511605573624","-394.34511605573624","-439.8562809498086","-439.8562809498086","-439.8562809498086"
"3608","-422.08606203249735","-422.08606203249735","-422.08606203249735","-422.08606203249735","-422.08606203249735","-422.08606203249735","-422.08606203249735","-422.08606203249735","-422.08606203249735","-422.08606203249735","-422.08606203249735","-422.08606203249735","-426.2820253337665","-426.2820253337665","-426.2820253337665","-446.0985316603745","-446.0985316603745","-446.0985316603745"
"3772","-416.8237467427189","-416.8237467427189","-416.8237467427189","-416.8237467427189","-416.8237467427189","-416.8237467427189","-416.8237467427189","-416.8237467427189","-416.8237467427189","-416.8237467427189","-416.8237467427189","-416.8237467427189","-423.756206311372","-423.756206311372","-423.756206311372","-427.4697086477055","-427.4697086477055","-427.4697086477055"
"3854","-459.9898140286088","-459.9898140286088","-459.9898140286088","-459.9898140286088","-459.9898140286088","-459.9898140286088","-459.9898140286088","-459.9898140286088","-459.9898140286088","-459.9898140286088","-459.9898140286088","-459.9898140286088","-459.48815830565894","-459.48815830565894","-459.48815830565894","-439.50466671329383","-439.50466671329383","-439.50466671329383"
"3936","-428.30613823312524","-428.30613823312524","-428.30613823312524","-428.30613823312524","-428.30613823312524","-428.30613823312524","-428.30613823312524","-428.30613823312524","-428.30613823312524","-428.30613823312524","-428.30613823312524","-428.30613823312524","-427.6411229927918","-427.6411229927918","-427.6411229927918","-417.0715656681963","-417.0715656681963","-417.0715656681963"
"4018","-443.0909190570089","-443.0909190570089","-443.0909190570089","-435.92791087029343","-435.92791087029343","-435.92791087029343","-432.8160974016206","-432.8160974016206","-432.8160974016206","-446.8759062834675","-446.8759062834675","-446.8759062834675","-445.80178425738404","-445.80178425738404","-445.80178425738404","-412.3805923741719","-412.3805923741719","-412.3805923741719"
"4100","-421.43428892718424","-421.43428892718424","-421.43428892718424","-396.32895465093424","-396.32895465093424","-396.32895465093424","-388.1124864197078","-388.1124864197078","-388.1124864197078","-424.6236577834846","-424.6236577834846","-424.6236577834846","-404.18800859501096","-404.18800859501096","-404.18800859501096","-421.1903289104147","-421.1903289104147","-421.1903289104147"
"4264","-474.3973397887174","-474.3973397887174","-474.3973397887174","-412.28132857726087","-412.28132857726087","-412.28132857726087","-418.11184004130865","-418.11184004130865","-418.11184004130865","-475.6618162512593","-475.6618162512593","-475.6618162512593","-425.11704687633215","-425.11704687633215","-425.11704687633215","-411.9303562250519","-411.9303562250519","-411.9303562250519"
"4346","-515.1855155934416","-515.1855155934416","-515.1855155934416","-435.25974471073164","-435.25974471073164","-435.25974471073164","-439.46258007706854","-439.46258007706854","-439.46258007706854","-520.2505984160657","-520.2505984160657","-520.2505984160657","-449.48570422852754","-449.48570422852754","-449.48570422852754","-416.8539996199317","-416.8539996199317","-416.8539996199317"
"4428","-442.9058892480472","-442.9058892480472","-442.9058892480472","-398.7102524482014","-398.7102524482014","-398.7102524482014","-403.54369415697766","-403.54369415697766","-403.54369415697766","-460.59833929023887","-460.59833929023887","-460.59833929023887","-398.7209973937669","-398.7209973937669","-398.7209973937669","-413.25850407601393","-413.25850407601393","-413.25850407601393"
"4510","-442.31864638144646","-442.31864638144646","-442.31864638144646","-374.0724732710236","-374.0724732710236","-374.0724732710236","-373.5495361314634","-373.5495361314634","-373.5495361314634","-444.17927533166227","-444.17927533166227","-444.17927533166227","-406.73983003111636","-406.73983003111636","-406.73983003111636","-411.4954936446728","-411.4954936446728","-411.4954936446728"
"4674","-530.1473020474688","-530.1473020474688","-530.1473020474688","-435.3095918419598","-435.3095918419598","-435.3095918419598","-438.57282615447684","-438.57282615447684","-438.57282615447684","-521.6907367143541","-521.6907367143541","-521.6907367143541","-466.62155814922176","-466.62155814922176","-466.62155814922176","-412.142990817703","-412.142990817703","-412.142990817703"
"4756","-508.0227792425033","-508.0227792425033","-508.0227792425033","-413.6107738869563","-413.6107738869563","-413.6107738869563","-417.878063529473","-417.878063529473","-417.878063529473","-508.78532343696935","-508.78532343696935","-508.78532343696935","-429.9988303579516","-429.9988303579516","-429.9988303579516","-396.47270860397634","-396.47270860397634","-396.47270860397634"
"4838","-459.0860681768283","-459.0860681768283","-459.0860681768283","-374.0901976255916","-374.0901976255916","-374.0901976255916","-370.4984777029164","-370.4984777029164","-370.4984777029164","-453.37808510275613","-453.37808510275613","-453.37808510275613","-384.88059614338187","-384.88059614338187","-384.88059614338187","-405.7738226365634","-405.7738226365634","-405.7738226365634"
"4920","-507.62909885950575","-507.62909885950575","-507.62909885950575","-422.0675983850191","-422.0675983850191","-422.0675983850191","-422.58231847199596","-422.58231847199596","-422.58231847199596","-515.6901063399023","-515.6901063399023","-515.6901063399023","-430.6001783472524","-430.6001783472524","-430.6001783472524","-403.3618238212348","-403.3618238212348","-403.3618238212348"
"5002","-498.54416583294073","-498.54416583294073","-498.54416583294073","-414.51727155573326","-414.51727155573326","-414.51727155573326","-413.0335426186995","-413.0335426186995","-413.0335426186995","-490.6505581124364","-490.6505581124364","-490.6505581124364","-440.50610053862437","-440.50610053862437","-440.50610053862437","-384.83540512264796","-384.83540512264796","-384.83540512264796"
"5166","-529.7934073079158","-529.7934073079158","-529.7934073079158","-393.3322157363229","-393.3322157363229","-393.3322157363229","-409.8162258331274","-409.8162258331274","-409.8162258331274","-500.03453176161804","-500.03453176161804","-500.03453176161804","-416.4138382119855","-416.4138382119855","-416.4138382119855","-354.2394057843028","-354.2394057843028","-354.2394057843028"
"5248","-579.5495729976453","-579.5495729976453","-579.5495729976453","-427.58249679210405","-427.58249679210405","-427.58249679210405","-432.74255085286876","-432.74255085286876","-432.74255085286876","-550.2575487113897","-550.2575487113897","-550.2575487113897","-465.9745798449632","-465.9745798449632","-465.9745798449632","-384.1970376577458","-384.1970376577458","-384.1970376577458"
"5330","-561.8997128653423","-561.8997128653423","-561.8997128653423","-401.3482202635947","-401.3482202635947","-401.3482202635947","-397.90576524566694","-397.90576524566694","-397.90576524566694","-509.5674151122629","-509.5674151122629","-509.5674151122629","-421.5688331977012","-421.5688331977012","-421.5688331977012","-424.66794421721096","-424.66794421721096","-424.66794421721096"
"5412","-573.3948057322958","-573.3948057322958","-573.3948057322958","-382.66967202586306","-382.66967202586306","-382.66967202586306","-393.8244782378806","-393.8244782378806","-393.8244782378806","-493.0820563179697","-493.0820563179697","-493.0820563179697","-411.5273725770742","-411.5273725770742","-411.5273725770742","-407.69898100112715","-407.69898100112715","-407.69898100112715"
"5576","-592.2184679071493","-592.2184679071493","-592.2184679071493","-406.55264171024066","-406.55264171024066","-406.55264171024066","-405.38338636412743","-405.38338636412743","-405.38338636412743","-541.8823815837134","-541.8823815837134","-541.8823815837134","-419.80688203775236","-419.80688203775236","-419.80688203775236","-368.35810382281016","-368.35810382281016","-368.35810382281016"
"5658","-542.9449557146036","-542.9449557146036","-542.9449557146036","-363.22289289484684","-363.22289289484684","-363.22289289484684","-367.0220966074783","-367.0220966074783","-367.0220966074783","-496.6562832938444","-496.6562832938444","-496.6562832938444","-389.0261962584156","-389.0261962584156","-389.0261962584156","-346.3605492306734","-346.3605492306734","-346.3605492306734"
"5740","-569.550178666223","-569.550178666223","-569.550178666223","-418.17398050566794","-418.17398050566794","-418.17398050566794","-418.4078904666529","-418.4078904666529","-418.4078904666529","-526.9040134457769","-526.9040134457769","-526.9040134457769","-438.1022493198324","-438.1022493198324","-438.1022493198324","-377.37051654332225","-377.37051654332225","-377.37051654332225"
"5822","-555.4326160545927","-555.4326160545927","-555.4326160545927","-405.41415610781866","-405.41415610781866","-405.41415610781866","-398.40911382999366","-398.40911382999366","-398.40911382999366","-521.1622575265292","-521.1622575265292","-521.1622575265292","-414.0776811363268","-414.0776811363268","-414.0776811363268","-381.24556657037033","-381.24556657037033","-381.24556657037033"
"5904","-548.5359948450143","-548.5359948450143","-548.5359948450143","-386.8990387371907","-386.8990387371907","-386.8990387371907","-388.0741627755684","-388.0741627755684","-388.0741627755684","","","","-400.29800426006625","-400.29800426006625","-400.29800426006625","-378.2776610444853","-378.2776610444853","-378.2776610444853"
"6068","-566.9406788554624","-566.9406788554624","-566.9406788554624","-380.39526710092053","-380.39526710092053","-380.39526710092053","-384.8037054654785","-384.8037054654785","-384.8037054654785","","","","-397.9410339705997","-397.9410339705997","-397.9410339705997","-389.86178029242166","-389.86178029242166","-389.86178029242166"
"6150","-625.4285732635487","-625.4285732635487","-625.4285732635487","-435.1245602971085","-435.1245602971085","-435.1245602971085","-437.0329327320737","-437.0329327320737","-437.0329327320737","","","","-461.82716073735196","-461.82716073735196","-461.82716073735196","-375.5665305234537","-375.5665305234537","-375.5665305234537"
"6232","-572.917240170162","-572.917240170162","-572.917240170162","-388.4687642294721","-388.4687642294721","-388.4687642294721","-384.6998927730708","-384.6998927730708","-384.6998927730708","","","","-405.54158869932945","-405.54158869932945","-405.54158869932945","-394.9827770711542","-394.9827770711542","-394.9827770711542"
"6314","-616.7806461580576","-616.7806461580576","-616.7806461580576","-397.96485978057694","-397.96485978057694","-397.96485978057694","-401.39558422431185","-401.39558422431185","-401.39558422431185","","","","-416.83578371806027","-416.83578371806027","-416.83578371806027","-354.769365301012","-354.769365301012","-354.769365301012"
"6478","-560.2501831801268","-560.2501831801268","-560.2501831801268","-380.3673858409799","-380.3673858409799","-380.3673858409799","-385.816392423793","-385.816392423793","-385.816392423793","","","","-392.22167337877045","-392.22167337877045","-392.22167337877045","-371.4224422642716","-371.4224422642716","-371.4224422642716"
"6560","-550.3888879074292","-550.3888879074292","-550.3888879074292","-366.3727587630933","-366.3727587630933","-366.3727587630933","-375.37696286411216","-375.37696286411216","-375.37696286411216","","","","-372.9594055350762","-372.9594055350762","-372.9594055350762","-388.5470436779491","-388.5470436779491","-388.5470436779491"
"6642","-566.219722142574","-566.219722142574","-566.219722142574","-385.91907608489134","-385.91907608489134","-385.91907608489134","-398.34224814782783","-398.34224814782783","-398.34224814782783","","","","-417.31887610127416","-417.31887610127416","-417.31887610127416","-369.9822857967642","-369.9822857967642","-369.9822857967642"
"6724","-642.0714266134377","-642.0714266134377","-642.0714266134377","-389.5017618487261","-389.5017618487261","-389.5017618487261","-410.3031564868065","-410.3031564868065","-410.3031564868065","","","","-425.5396646173091","-425.5396646173091","-425.5396646173091","-372.25160715045035","-372.25160715045035","-372.25160715045035"
"6806","-635.1426850514713","-635.1426850514713","-635.1426850514713","-380.6650541865889","-380.6650541865889","-380.6650541865889","-387.10033350074883","-387.10033350074883","-387.10033350074883","","","","-416.0098075923592","-416.0098075923592","-416.0098075923592","-357.4337561497042","-357.4337561497042","-357.4337561497042"
"6970","-590.8811689505859","-590.8811689505859","-590.8811689505859","-381.38483175361523","-381.38483175361523","-381.38483175361523","-387.4854914731989","-387.4854914731989","-387.4854914731989","","","","-395.86008530622945","-395.86008530622945","-395.86008530622945","-353.3494491364206","-353.3494491364206","-353.3494491364206"
"7052","-596.178230959668","-596.178230959668","-596.178230959668","-369.30917952951654","-369.30917952951654","-369.30917952951654","-370.7007295766247","-370.7007295766247","-370.7007295766247","","","","-423.68259167358434","-423.68259167358434","-423.68259167358434","-375.5707261611512","-375.5707261611512","-375.5707261611512"
"7134","-601.2634769709863","-601.2634769709863","-601.2634769709863","-376.541234231542","-376.541234231542","-376.541234231542","-390.27650936987845","-390.27650936987845","-390.27650936987845","","","","-456.4871890503635","-456.4871890503635","-456.4871890503635","-362.854634293553","-362.854634293553","-362.854634293553"
"7216","-607.7414728999534","-607.7414728999534","-607.7414728999534","-354.0700558065423","-354.0700558065423","-354.0700558065423","-358.74941369239014","-358.74941369239014","-358.74941369239014","","","","-426.1316366454178","-426.1316366454178","-426.1316366454178","-333.21566672915054","-333.21566672915054","-333.21566672915054"
"7380","-597.7872759585549","-597.7872759585549","-597.7872759585549","-392.39434348372276","-392.39434348372276","-392.39434348372276","-398.96021508183804","-398.96021508183804","-398.96021508183804","","","","-423.37977999124166","-423.37977999124166","-423.37977999124166","-381.2243852855058","-381.2243852855058","-381.2243852855058"
"7462","-576.7011871850793","-576.7011871850793","-576.7011871850793","-368.4142424759807","-368.4142424759807","-368.4142424759807","-388.67320983468153","-388.67320983468153","-388.67320983468153","","","","-415.7114776143904","-415.7114776143904","-415.7114776143904","-347.11379914002896","-347.11379914002896","-347.11379914002896"
"7544","-593.2844483013507","-593.2844483013507","-593.2844483013507","-355.4219188972526","-355.4219188972526","-355.4219188972526","-368.0110389603016","-368.0110389603016","-368.0110389603016","","","","-411.54688252033645","-411.54688252033645","-411.54688252033645","-378.5792638238371","-378.5792638238371","-378.5792638238371"
"7626","-593.3479197806736","-593.3479197806736","-593.3479197806736","-364.02669864960654","-364.02669864960654","-364.02669864960654","-373.43665123768363","-373.43665123768363","-373.43665123768363","","","","-417.62773016637783","-417.62773016637783","-417.62773016637783","-345.5670049313077","-345.5670049313077","-345.5670049313077"
"7708","-607.1255288720228","-607.1255288720228","-607.1255288720228","-342.51704983051275","-342.51704983051275","-342.51704983051275","-360.16460365761463","-360.16460365761463","-360.16460365761463","","","","-412.62822865888137","-412.62822865888137","-412.62822865888137","-367.49684386013047","-367.49684386013047","-367.49684386013047"
"7872","-566.9068520898705","-566.9068520898705","-566.9068520898705","-353.7592577202055","-353.7592577202055","-353.7592577202055","-354.94620960033126","-354.94620960033126","-354.94620960033126","","","","-423.82745825319444","-423.82745825319444","-423.82745825319444","-350.557268390856","-350.557268390856","-350.557268390856"
"7954","-566.4011093725794","-566.4011093725794","-566.4011093725794","-357.94958462708746","-357.94958462708746","-357.94958462708746","-347.6336495020638","-347.6336495020638","-347.6336495020638","","","","-397.5691163907844","-397.5691163907844","-397.5691163907844","-355.6051597229534","-355.6051597229534","-355.6051597229534"
"8036","-602.8442109171225","-602.8442109171225","-602.8442109171225","-356.5962504987555","-356.5962504987555","-356.5962504987555","-352.9491254984875","-352.9491254984875","-352.9491254984875","","","","-380.2486126547964","-380.2486126547964","-380.2486126547964","-370.99299258455574","-370.99299258455574","-370.99299258455574"
"8118","-619.1343854123747","-619.1343854123747","-619.1343854123747","-377.1755142935651","-377.1755142935651","-377.1755142935651","-361.1783683131045","-361.1783683131045","-361.1783683131045","","","","-380.6003425369241","-380.6003425369241","-380.6003425369241","-379.5944040492157","-379.5944040492157","-379.5944040492157"
"8200","-648.4126870986726","-648.4126870986726","-648.4126870986726","-371.9843281902884","-371.9843281902884","-371.9843281902884","-379.5469539739663","-379.5469539739663","-379.5469539739663","","","","-426.5997630975711","-426.5997630975711","-426.5997630975711","-344.7561118172289","-344.7561118172289","-344.7561118172289"
